,precision,recall,f1-score,support
0,0.8095238095238095,0.68,0.7391304347826089,25.0
1,1.0,1.0,1.0,28.0
2,0.6206896551724138,0.75,0.679245283018868,24.0
3,0.7837837837837838,0.8529411764705882,0.8169014084507041,34.0
4,0.972972972972973,0.9473684210526315,0.9599999999999999,38.0
5,0.9428571428571428,0.9428571428571428,0.9428571428571428,35.0
6,0.6666666666666666,0.5925925925925926,0.627450980392157,27.0
accuracy,0.8388625592417062,0.8388625592417062,0.8388625592417062,0.8388625592417062
macro avg,0.8280705758538272,0.8236799047104223,0.8236550356430687,211.0
weighted avg,0.8424467705395962,0.8388625592417062,0.838748682558911,211.0
